,Unnamed: 0,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,shipment_mode,sub_classification,vendor,brand,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,freight_cost_(usd),line_item_insurance_(usd),days_to_process
9396,9602,SO,DN,164,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,270,599.4,2.22,0.04,Hetero Unit III Hyderabad IN,No,3526.69,0.84,105.0
4718,4924,SCMS,ASN,111,Direct Drop,EXW,Air,HIV+,other,other,100,1,89.0,53.775000000000006,0.89,other,Yes,14515.01,0.19,136.0
8047,8253,SO,DN,333,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,800,6608.0,8.26,0.14,Mylan (formerly Matrix) Nashik,No,3526.69,8.17,333.0
9189,9395,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,90,213,4473.0,21.0,0.23,"Strides, Bangalore, India.",No,0.0,9.64,138.0
637,638,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,Generic,180,150,1407.0,9.38,0.04,"Aurobindo Unit III, India",No,0.0,2.76,-47.0
7712,7918,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,9.6,0.32,Mylan (formerly Matrix) Nashik,No,3526.69,619.2275,210.0
8218,8424,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,10.0,0.33,Mylan (formerly Matrix) Nashik,Yes,11637.64,619.2275,127.0
4807,5013,SCMS,ASN,429,Direct Drop,EXW,Air,Adult,other,Generic,30,41900,407198.31250000006,5.19,0.17,Mylan (formerly Matrix) Nashik,Yes,17636.265,619.2275,216.0
8646,8852,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,6.6,0.11,Mylan (formerly Matrix) Nashik,Yes,17636.265,619.2275,302.0
9394,9600,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,1781,8584.42,4.82,0.16,Mylan (formerly Matrix) Nashik,Yes,1113.0,12.04,329.0
6090,6296,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,1000,16453.48,16.45,0.55,"Aurobindo Unit III, India",No,0.0,32.25,173.0
5281,5487,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,20,2155,62495.0,29.0,1.09875,other,Yes,7727.12,87.62,104.0
4511,4717,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,5000,185776.9,37.16,1.09875,Mylan (formerly Matrix) Nashik,Yes,0.0,218.66,72.0
4883,5089,SCMS,ASN,75,Direct Drop,EXW,Air,Adult,other,Generic,30,37732,407198.31250000006,11.15,0.37,other,Yes,17636.265,520.42,144.0
4838,5044,SCMS,ASN,30,Direct Drop,EXW,Air,HIV+,other,other,100,4484,358720.0,53.775000000000006,0.8,other,Yes,17636.265,502.93,147.0
4306,4512,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,30,28907,192231.55,6.65,0.22,"Aurobindo Unit III, India",Yes,0.0,317.18,199.0
5989,6195,SCMS,ASN,1046,Direct Drop,FCA,Air,Adult,other,other,120,12560,407198.31250000006,36.16,0.3,other,Yes,17636.265,619.2275,63.0
5580,5786,SCMS,ASN,688,Direct Drop,FCA,Air,Adult,other,other,120,1820,149604.0,53.775000000000006,0.68,other,Yes,4755.76,322.55,435.0
3042,3248,SCMS,ASN,688,Direct Drop,FCA,Air,Adult,other,other,180,24,7365.12,53.775000000000006,0.91,other,Yes,3981.97,15.88,75.0
2375,2554,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,3000,24450.0,8.15,0.14,"Aurobindo Unit III, India",No,3526.69,39.12,-223.5
3092,3298,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,2874,255786.0,53.775000000000006,0.89,other,Yes,17636.265,358.61,166.0
4309,4515,SCMS,ASN,164,Direct Drop,EXW,Air,HIV+,other,other,20,35,1120.0,32.0,1.09875,other,No,3526.69,1.32,212.0
3760,3966,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,17755,57703.75,3.25,0.11,other,Yes,2604.31,71.38,169.0
2852,3058,SCMS,ASN,754,Direct Drop,FCA,Air,Adult,other,other,120,60,2169.6,36.16,0.3,other,Yes,814.04,4.25,57.0
5447,5653,SCMS,ASN,639,Direct Drop,DDU,Air,HIV+,other,other,100,1432,164680.0,53.775000000000006,1.09875,other,Yes,0.0,271.72,118.0
7895,8101,SO,DN,35,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,23861,267720.42,11.22,0.19,Mylan (formerly Matrix) Nashik,Yes,12314.4,441.74,34.0
2355,2534,SO,DN,535,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,22,162.8,7.4,0.12,"Cipla, Goa, India",No,3526.69,0.26,-223.5
2966,3172,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,60,500,7451.43,14.9,0.25,other,No,0.0,16.07,12.0
1826,1925,SO,DN,207,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,147959.84,3.04,0.05,other,Yes,9187.8,236.74,-223.5
7731,7937,SO,DN,75,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,120,12000,232320.0,19.36,0.16,"Aurobindo Unit III, India",Yes,17636.265,273.44,63.0
7125,7331,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,383096.0,7.0,0.12,"Aurobindo Unit III, India",Yes,17636.265,473.89,104.0
675,676,SCMS,ASN,429,Direct Drop,CIP,Air,Pediatric,other,other,60,182,1729.0,9.5,0.16,other,Yes,86.4,2.77,-223.5
9393,9599,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,166771.32,3.81,0.13,"Aurobindo Unit III, India",No,3526.69,233.81,165.0
1091,1092,SO,DN,608,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,2744,6695.36,2.44,0.01,"Aurobindo Unit III, India",Yes,3894.6,10.71,-223.5
3283,3489,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,3,33.05,11.02,0.37,"Aurobindo Unit III, India",No,0.0,0.03,243.0
4628,4834,SCMS,ASN,164,Direct Drop,EXW,Air,HIV+,other,other,100,339,30171.0,53.775000000000006,0.89,other,No,3526.69,42.3,92.0
7434,7640,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,11.22,0.19,Mylan (formerly Matrix) Nashik,No,3526.69,619.2275,129.0
160,160,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,20,10000,270000.0,27.0,1.09875,other,Yes,17636.265,432.0,-223.5
4946,5152,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,22008,189488.88,8.61,0.14,"Aurobindo Unit III, India",Yes,12793.94,371.4,307.0
1655,1717,SO,DN,94,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,21000,252210.0,12.01,0.4,"Aurobindo Unit III, India",Yes,6074.62,403.54,-223.5
3476,3682,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,2700,52283.01,19.36,0.65,"Cipla, Goa, India",No,0.0,112.72,12.0
6619,6825,SO,DN,535,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,20451,47037.3,2.3,0.04,"Cipla, Goa, India",Yes,9251.8,65.95,210.0
4841,5047,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,368,4784.0,13.0,0.22,Mylan (formerly Matrix) Nashik,No,3526.69,6.71,153.0
2991,3197,SCMS,ASN,639,Direct Drop,CIP,Air,Adult,other,other,120,22,1465.2,53.775000000000006,0.55,other,Yes,0.0,1.81,188.0
4785,4991,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,100,350,28000.0,53.775000000000006,0.8,other,Yes,2631.39,28.78,190.0
2820,3026,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,25,1400,28700.0,20.5,0.82,other,Yes,5924.89,29.5,365.0
4343,4549,SCMS,ASN,333,Direct Drop,EXW,Air,HIV+,other,other,100,552,44160.0,53.775000000000006,0.8,other,No,3526.69,51.98,141.0
9166,9372,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,751,3852.63,5.13,0.17,"Aurobindo Unit III, India",Yes,0.0,8.31,145.0
5308,5514,SCMS,ASN,639,Direct Drop,EXW,Ocean,Adult,other,Generic,30,41900,407198.31250000006,14.1,0.47,Mylan (formerly Matrix) Nashik,Yes,17636.265,619.2275,179.0
5755,5961,SCMS,ASN,1161,Direct Drop,EXW,Air,Adult,other,Generic,30,7026,31617.0,4.5,0.15,Hetero Unit III Hyderabad IN,No,3526.69,37.21,57.0
8551,8757,SO,DN,512,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,7894,33944.2,4.3,0.07,"Cipla, Goa, India",No,3526.69,41.99,252.0
7555,7761,SO,DN,1046,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,5701,23659.15,4.15,0.07,Mylan (formerly Matrix) Nashik,Yes,2527.41,33.17,375.0
6871,7077,SO,DN,1046,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,100,2604,12603.36,4.84,0.05,"Aurobindo Unit III, India",Yes,1702.91,24.7,168.0
4387,4593,SCMS,ASN,639,Direct Drop,EXW,Air,Adult,other,Generic,60,29635,195887.35,6.61,0.11,Hetero Unit III Hyderabad IN,Yes,17636.265,201.37,237.0
5513,5719,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,other,100,1891,151280.0,53.775000000000006,0.8,other,Yes,14125.63,155.52,183.0
9516,9722,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,611,8260.72,13.52,0.45,Mylan (formerly Matrix) Nashik,Yes,1335.15,10.22,346.0
7853,8059,SO,DN,1046,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,60,648,10044.0,15.5,0.26,"Aurobindo Unit III, India",Yes,17636.265,21.65,279.0
9395,9601,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,10080,144950.4,14.38,0.48,Mylan (formerly Matrix) Nashik,Yes,8158.93,203.22,289.0
8995,9201,SO,DN,1046,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,180,2000,4200.0,2.1,0.01,"Aurobindo Unit III, India",No,3526.69,5.2,340.0
3868,4074,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,33,1645.14,49.85,0.83,"Aurobindo Unit III, India",No,0.0,1.69,316.0
8821,9027,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,4669,13773.55,2.95,0.05,"Strides, Bangalore, India.",No,3526.69,22.73,324.0
6714,6920,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,10000,113600.0,11.36,0.19,Mylan (formerly Matrix) Nashik,Yes,4768.06,140.52,348.0
2697,2903,SCMS,ASN,639,Direct Drop,EXW,Ocean,Pediatric,other,Generic,180,2040,4080.0,2.0,0.01,"Aurobindo Unit III, India",Yes,0.0,4.19,192.0
141,141,SCMS,ASN,429,Direct Drop,EXW,Air,Adult,other,Generic,60,5605,202340.5,36.1,0.6,other,No,3526.69,619.2275,-223.5
7566,7772,SO,DN,164,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,378,854.28,2.26,0.04,Hetero Unit III Hyderabad IN,No,3526.69,1.06,98.0
5185,5391,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,30,900,21600.0,24.0,0.8,other,Yes,3489.46,46.57,173.0
9453,9659,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,41900,156813.03,3.33,0.11,"Strides, Bangalore, India.",No,3526.69,193.98,176.0
6299,6505,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,180,30,2304.67,53.775000000000006,0.28,other,No,0.0,2.37,156.0
1870,1969,SO,DN,639,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,2135,4205.95,1.97,0.01,"Aurobindo Unit III, India",No,3526.69,6.73,-223.5
651,652,SCMS,ASN,94,Direct Drop,DDP,Air,HIV+,other,other,25,7,525.0,53.775000000000006,1.09875,other,Yes,87.73,1.03,-17.0
7129,7335,SO,DN,754,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,4403,20694.1,4.7,0.16,other,Yes,4234.12,25.6,174.0
4592,4798,SCMS,ASN,639,Direct Drop,EXW,Ocean,Adult,other,Generic,60,31806,210237.66,6.61,0.11,Hetero Unit III Hyderabad IN,No,3526.69,216.12,173.0
4112,4318,SCMS,ASN,754,Direct Drop,CIP,Air,Adult,other,other,60,1300,72150.0,53.775000000000006,0.92,other,Yes,0.0,74.17,190.0
2629,2835,SCMS,ASN,608,Direct Drop,EXW,Air,HIV+,other,other,100,4708,376640.0,53.775000000000006,0.8,other,Yes,13489.96,387.19,139.0
8714,8920,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,70,238.0,3.4,0.06,"Cipla, Goa, India",No,3526.69,0.51,37.0
5918,6124,SCMS,ASN,754,Direct Drop,EXW,Air,Pediatric,other,Generic,30,41900,92079.0,1.5,0.05,Mylan (formerly Matrix) Nashik,Yes,12034.96,113.9,166.0
9111,9317,SO,DN,98,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,60,164,314.88,1.92,0.03,"Cipla, Goa, India",No,3526.69,0.37,155.0
6770,6976,SO,DN,94,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,40000,324400.0,8.11,0.14,"Cipla, Goa, India",Yes,15571.48,333.48,57.0
74,74,SCMS,ASN,70,Direct Drop,EXW,Air,HIV+,other,other,2,15,450.0,30.0,1.09875,other,Yes,578.01,0.88,-185.0
9799,10005,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,6392,26974.24,4.22,0.14,Hetero Unit III Hyderabad IN,No,3526.69,44.51,243.0
2840,3046,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,23,528.93,23.0,0.38,"Aurobindo Unit III, India",No,0.0,0.54,316.0
1896,1995,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,30,4,105.0,26.25,0.88,other,No,3526.69,0.17,-223.5
1491,1531,SO,DN,207,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,1846,3968.9,2.15,0.01,"Aurobindo Unit III, India",Yes,3472.55,6.35,-223.5
7081,7287,SO,DN,429,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,34997,187583.92,5.36,0.18,other,Yes,17636.265,262.99,233.0
126,126,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,84,50,490.0,9.8,0.12,other,Yes,0.0,0.96,57.0
3555,3761,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,306,6369.4,20.82,0.69,Hetero Unit III Hyderabad IN,Yes,0.0,7.88,211.0
5884,6090,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,22,543.68,24.71,0.41,"Aurobindo Unit III, India",No,0.0,0.67,121.0
2663,2869,SCMS,ASN,639,Direct Drop,EXW,Ocean,Pediatric,other,Generic,60,3300,13035.0,3.95,0.07,Mylan (formerly Matrix) Nashik,Yes,16028.78,13.4,264.0
5836,6042,SCMS,ASN,639,Direct Drop,CIP,Air,Pediatric,other,other,180,167,2832.32,16.96,0.09,other,Yes,290.0,5.55,106.0
6906,7112,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,30,2000,52500.0,26.25,0.88,other,Yes,12648.36,113.19,173.0
1963,2090,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,903,6953.1,7.7,0.13,"Cipla, Goa, India",Yes,1339.8,11.12,-223.5
7896,8102,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,3850,5390.0,1.4,0.02,"Aurobindo Unit III, India",Yes,2936.8,8.89,166.0
6431,6637,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,19454,89488.4,4.6,0.15,"Aurobindo Unit III, India",No,3526.69,192.94,40.0
3918,4124,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,792,70488.0,53.775000000000006,0.89,other,Yes,8363.61,98.82,96.0
9787,9993,SO,DN,1046,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,4965,10426.5,2.1,0.01,"Aurobindo Unit III, India",Yes,2503.33,17.2,187.0
3671,3877,SCMS,ASN,111,Direct Drop,EXW,Air,HIV+,other,other,100,100,8000.0,53.775000000000006,0.8,other,Yes,1555.21,15.68,85.0
3217,3423,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,20,3640,116480.0,32.0,1.09875,other,Yes,15504.42,192.19,413.0
1919,2018,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,120,1544,63458.4,41.1,0.34,other,Yes,0.0,124.38,-73.0
2719,2925,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,Generic,30,300,1046.28,3.49,0.12,"Aurobindo Unit III, India",Yes,0.0,2.26,42.0
7180,7386,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,60,242.4,4.04,0.13,Mylan (formerly Matrix) Nashik,Yes,17636.265,0.25,104.0
8045,8251,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Pediatric,SCMS from RDC,Generic,60,1945,6418.5,3.3,0.06,"Cipla, Goa, India",Yes,0.0,7.94,250.0
2065,2192,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,30,1166,30607.5,26.25,0.88,other,Yes,1742.25,59.99,-90.0
5785,5991,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,7,137.73,19.68,0.66,"Aurobindo Unit III, India",No,0.0,0.14,120.0
7951,8157,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,13127,32948.77,2.51,0.04,"Aurobindo Unit III, India",Yes,6079.27,46.19,158.0
2958,3164,SCMS,ASN,754,Direct Drop,FCA,Air,Adult,other,other,60,417,2856.45,6.85,0.11,other,Yes,887.67,3.53,182.0
8694,8900,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,40080,407198.31250000006,11.35,0.19,"Aurobindo Unit III, India",Yes,17636.265,619.2275,162.0
1235,1256,SO,DN,1046,From RDC,N/A - From RDC,Air,HIV+,SCMS from RDC,other,40,615,46740.0,53.775000000000006,1.09875,other,No,3526.69,74.78,-223.5
5302,5508,SCMS,ASN,754,Direct Drop,EXW,Air,HIV+,other,other,30,800,22080.0,27.6,0.92,other,Yes,798.43,22.7,84.0
7665,7871,SO,DN,333,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,100,1330,1729.0,1.3,0.01,"Aurobindo Unit III, India",Yes,5347.37,1.78,211.0
8459,8665,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,35011,84726.62,2.42,0.04,Hetero Unit III Hyderabad IN,No,3526.69,118.79,195.0
8677,8883,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,45,109.8,2.44,0.04,"Aurobindo Unit III, India",No,3526.69,0.22,70.0
6708,6914,SO,DN,1046,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,2200,8800.0,4.0,0.07,"Aurobindo Unit III, India",Yes,2151.95,10.89,444.5
7547,7753,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,5009,69925.64,13.96,0.47,Mylan (formerly Matrix) Nashik,Yes,6637.16,86.5,78.0
3630,3836,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,other,180,41900,407198.31250000006,15.08,0.06,other,Yes,0.0,619.2275,99.0
1142,1143,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,3505,32771.75,9.35,0.16,"Aurobindo Unit III, India",Yes,5401.95,64.23,-60.0
4006,4212,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,60,7548,55100.4,7.3,0.12,"Aurobindo Unit III, India",Yes,659.58,90.92,189.0
7624,7830,SO,DN,1046,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,60,15000,32250.0,2.15,0.04,Mylan (formerly Matrix) Nashik,Yes,0.0,39.89,207.0
7257,7463,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Pediatric,SCMS from RDC,Generic,60,16495,59382.0,3.6,0.06,"Cipla, Goa, India",Yes,5852.71,61.04,271.0
2220,2377,SO,DN,207,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,3000,4200.0,1.4,0.01,"Aurobindo Unit III, India",Yes,1850.7,6.72,-223.5
854,855,SCMS,ASN,639,Direct Drop,FCA,Air,Pediatric,other,Generic,60,14,143.92,10.28,0.17,other,Yes,810.36,0.28,-47.0
8690,8896,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,755,16172.1,21.42,0.36,Mylan (formerly Matrix) Nashik,Yes,11637.64,31.7,144.0
2808,3014,SCMS,ASN,333,Direct Drop,EXW,Air,HIV+,other,other,20,70,2240.0,32.0,1.09875,other,Yes,3918.37,2.64,142.0
3652,3858,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,Generic,180,6,31.01,5.17,0.02,"Aurobindo Unit III, India",No,0.0,0.03,243.0
1719,1781,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,30,326,8557.5,26.25,0.88,other,Yes,6443.61,16.77,-69.0
7933,8139,SO,DN,164,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,200,466.0,2.33,0.04,other,No,3526.69,0.65,125.0
8434,8640,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,9.81,0.16,Mylan (formerly Matrix) Nashik,Yes,11874.85,619.2275,250.0
345,345,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,Generic,100,4500,45.0,0.01,0.0,other,No,3526.69,0.09,-223.5
7757,7963,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,28000,317800.0,11.35,0.19,"Aurobindo Unit III, India",Yes,11637.64,619.2275,127.0
1874,1973,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,27070,297770.0,11.0,0.37,"Aurobindo Unit III, India",No,3526.69,476.43,-223.5
6730,6936,SO,DN,1046,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,6799,25496.25,3.75,0.06,"Strides, Bangalore, India.",Yes,1672.7,31.54,325.0
5055,5261,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,10700,37985.0,3.55,0.12,Hetero Unit III Hyderabad IN,No,3526.69,39.05,181.0
3726,3932,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,19,406.76,21.41,0.36,"Aurobindo Unit III, India",No,0.0,0.42,243.0
6458,6664,SO,DN,1046,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,628,1224.6,1.95,0.01,"Aurobindo Unit III, India",Yes,1794.58,2.64,175.0
6303,6509,SCMS,ASN,1046,Direct Drop,FCA,Air,Pediatric,other,other,180,320,9862.4,30.82,0.1,other,Yes,3852.86,12.2,75.0
5414,5620,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,3067,272963.0,53.775000000000006,0.89,other,Yes,13325.65,337.66,100.0
4428,4634,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,100,2024,141680.0,53.775000000000006,0.7,other,Yes,6923.2,277.69,144.0
144,144,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,40,375,28500.0,53.775000000000006,1.09875,other,Yes,4445.75,27.24,-223.5
1023,1024,SO,DN,608,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,10403,174250.25,16.75,0.56,"Aurobindo Unit III, India",Yes,1893.82,185.43,-223.5
5280,5486,SCMS,ASN,207,Direct Drop,EXW,Air,HIV+,other,other,1,4000,98000.0,24.5,1.09875,other,Yes,17636.265,115.35,50.0
7880,8086,SO,DN,48,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,38040,95480.4,2.51,0.04,"Strides, Bangalore, India.",Yes,226.25,157.54,44.0
2198,2355,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,371,3524.5,9.5,0.16,"Aurobindo Unit III, India",Yes,8321.29,5.64,-223.5
7155,7361,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,961,8245.38,8.58,0.14,"Aurobindo Unit III, India",No,3526.69,10.2,213.0
5204,5410,SCMS,ASN,650,Direct Drop,EXW,Air,Adult,other,Generic,60,39201,88202.25,2.25,0.04,"Aurobindo Unit III, India",Yes,17636.265,90.67,98.0
5474,5680,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,100,840,67200.0,53.775000000000006,0.8,other,Yes,7765.61,94.21,122.0
2690,2896,SCMS,ASN,688,Direct Drop,EXW,Air,Pediatric,other,Generic,30,3000,6720.0,2.24,0.07,"Aurobindo Unit III, India",Yes,1238.16,9.42,133.0
3401,3607,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,100,2906,232480.0,53.775000000000006,0.8,other,Yes,17636.265,287.58,95.0
2319,2498,SO,DN,1046,From RDC,N/A - From RDC,Air,HIV+,SCMS from RDC,other,40,160,12160.0,53.775000000000006,1.09875,other,Yes,1754.0,0.71,-223.5
3511,3717,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,19,515.11,27.11,0.45,Mylan (formerly Matrix) Nashik,Yes,0.0,0.64,414.0
3581,3787,SCMS,ASN,608,Direct Drop,EXW,Air,Adult,other,Generic,60,33216,269381.76,8.11,0.14,Hetero Unit III Hyderabad IN,Yes,16537.11,276.92,147.0
1092,1093,SO,DN,608,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,41900,104480.0,2.0,0.07,"Cipla, Goa, India",Yes,8771.34,167.17,-223.5
6101,6307,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,7248,76104.0,10.5,0.35,Hetero Unit III Hyderabad IN,No,3526.69,78.23,181.0
39,39,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,25,659,13180.0,20.0,0.8,other,Yes,2656.12,25.83,-74.0
1653,1715,SO,DN,512,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,60,9367,72594.25,7.75,0.13,"Aurobindo Unit III, India",Yes,6923.3,116.15,-223.5
